rank,title
1,肖申克的救赎
2,霸王别姬
3,泰坦尼克号
4,阿甘正传
5,千与千寻
6,美丽人生
7,这个杀手不太冷
8,星际穿越
9,盗梦空间
10,楚门的世界
11,辛德勒的名单
12,忠犬八公的故事
13,海上钢琴师
14,三傻大闹宝莱坞
15,疯狂动物城
16,放牛班的春天
17,机器人总动员
18,无间道
19,控方证人
20,大话西游之大圣娶亲
21,熔炉
22,触不可及
23,教父
24,寻梦环游记
25,当幸福来敲门
26,末代皇帝
27,哈利·波特与魔法石
28,龙猫
29,怦然心动
30,活着
31,蝙蝠侠：黑暗骑士
32,指环王3：王者无敌
33,我不是药神
34,乱世佳人
35,飞屋环游记
36,让子弹飞
37,哈尔的移动城堡
38,十二怒汉
39,素媛
40,海蒂和爷爷
41,猫鼠游戏
42,天空之城
43,鬼子来了
44,摔跤吧！爸爸
45,少年派的奇幻漂流
46,钢琴家
47,指环王2：双塔奇兵
48,死亡诗社
49,大话西游之月光宝盒
50,何以为家
51,闻香识女人
52,绿皮书
53,大闹天宫
54,黑客帝国
55,指环王1：护戒使者
56,罗马假日
57,教父2
58,狮子王
59,天堂电影院
60,饮食男女
61,辩护人
62,本杰明·巴顿奇事
63,搏击俱乐部
64,美丽心灵
65,穿条纹睡衣的男孩
66,情书
67,两杆大烟枪
68,窃听风暴
69,哈利·波特与死亡圣器(下)
70,音乐之声
71,西西里的美丽传说
72,功夫
73,阿凡达
74,哈利·波特与阿兹卡班的囚徒
75,看不见的客人
76,拯救大兵瑞恩
77,沉默的羔羊
78,小鞋子
79,飞越疯人院
80,布达佩斯大饭店
81,蝴蝶效应
82,禁闭岛
83,致命魔术
84,心灵捕手
85,低俗小说
86,超脱
87,哈利·波特与密室
88,喜剧之王
89,摩登时代
90,杀人回忆
91,致命ID
92,春光乍泄
93,一一
94,海豚湾
95,还有明天
96,美国往事
97,加勒比海盗
98,红辣椒
99,七宗罪
100,唐伯虎点秋香
101,狩猎
102,幽灵公主
103,甜蜜蜜
104,蝙蝠侠：黑暗骑士崛起
105,7号房的礼物
106,寄生虫
107,天书奇谭
108,超能陆战队
109,爱在黎明破晓前
110,第六感
111,被嫌弃的松子的一生
112,爱在日落黄昏时
113,重庆森林
114,入殓师
115,茶馆
116,未麻的部屋
117,哈利·波特与火焰杯
118,剪刀手爱德华
119,菊次郎的夏天
120,断背山
121,借东西的小人阿莉埃蒂
122,勇敢的心
123,头脑特工队
124,时空恋旅人
125,消失的爱人
126,无人知晓
127,倩女幽魂
128,驯龙高手
129,花样年华
130,完美的世界
131,阳光灿烂的日子
132,新世界
133,小森林 夏秋篇
134,傲慢与偏见
135,天使爱美丽
136,一个叫欧维的男人决定去死
137,玩具总动员3
138,怪兽电力公司
139,侧耳倾听
140,教父3
141,色，戒
142,请以你的名字呼唤我
143,幸福终点站
144,哪吒闹海
145,被解救的姜戈
146,九品芝麻官
147,小森林 冬春篇
148,釜山行
149,神偷奶爸
150,萤火之森
151,喜宴
152,告白
153,玛丽和麦克斯
154,头号玩家
155,七武士
156,模仿游戏
157,大鱼
158,惊魂记
159,射雕英雄传之东成西就
160,血战钢锯岭
161,我是山姆
162,你的名字。
163,阳光姐妹淘
164,恐怖直播
165,背靠背，脸对脸
166,黑客帝国3：矩阵革命
167,心灵奇旅
168,电锯惊魂
169,三块广告牌
170,小丑
171,谍影重重3
172,达拉斯买家俱乐部
173,疯狂原始人
174,无间道2
175,绿里奇迹
176,爱在午夜降临前
177,海街日记
178,风之谷
179,上帝之城
180,疯狂的石头
181,英雄本色
182,雨中曲
183,末路狂花
184,2001太空漫游
185,心迷宫
186,纵横四海
187,高山下的花环
188,记忆碎片
189,卢旺达饭店
190,无敌破坏王
191,小偷家族
192,冰川时代
193,恐怖游轮
194,东京教父
195,牯岭街少年杀人事件
196,魔女宅急便
197,岁月神偷
198,忠犬八公物语
199,荒蛮故事
200,芙蓉镇
201,遗愿清单
202,大佛普拉斯
203,机器人之梦
204,贫民窟的百万富翁
205,源代码
206,疯狂的麦克斯4：狂暴之路
207,你看起来好像很好吃
208,可可西里
209,东邪西毒
210,波西米亚狂想曲
211,爆裂鼓手
212,城市之光
213,花束般的恋爱
214,白日梦想家
215,爱乐之城
216,黑天鹅
217,青蛇
218,哈利·波特与死亡圣器(上)
219,终结者2：审判日
220,无耻混蛋
221,初恋这件小事
222,新龙门客栈
223,雨人
224,人工智能
225,大红灯笼高高挂
226,虎口脱险
227,崖上的波妞
228,真爱至上
229,千钧一发
230,罗生门
231,恋恋笔记本
232,彗星来的那一夜
233,哈利·波特与凤凰社
234,海边的曼彻斯特
235,火星救援
236,黑客帝国2：重装上阵
237,奇迹男孩
238,萤火虫之墓
239,千年女优
240,战争之王
241,步履不停
242,谍影重重2
243,血钻
244,攻壳机动队
245,蜘蛛侠：平行宇宙
246,冰雪奇缘
247,魂断蓝桥
248,房间
249,隐藏人物
250,谍影重重
